tech_clean,tech_clean_sep,AI_ambiguous,Manual_human,tech_stem
digital editing software,digital editing software,0,0,digit edit softwar
digital editing tools,digital editing tools,0,0,digit edit tool
digital effects,digital effects,0,0,digit effect
digital enhancement,digital enhancement,1,0,digit enhanc
digital fabrication,digital fabrication,0,0,digit fabric
digital file,digital file,0,0,digit file
digital id,digital id,1,0,digit id
digital ids,digital ids,0,0,digit id
digital image editing,digital image editing,0,0,digit imag edit
digital image manipulation,digital image manipulation,0,0,digit imag manipul
digital manipulation,digital manipulation,1,0,digit manipul
digital manipulation software,digital manipulation software,0,0,digit manipul softwar
digital rendering,digital rendering,0,0,digit render
digital responses,digital responses,1,0,digit respons
digital television,digital television,0,0,digit televis
digital trading cards,digital trading cards,0,0,digit trade card
digital tv converter,digital tv converter,0,0,digit tv convert
digital vaccine passports,digital vaccine passports,0,0,digit vaccin passport
digital video creation,digital video creation,0,0,digit video creation
digital whale,digital whale,1,1,digit whale
digitalidentity,digital identity,0,0,digit ident
diphtheria vaccine,diphtheria vaccine,0,0,diphtheria vaccin
direct energy weapon,direct energy weapon,0,0,direct energi weapon
direct energy weapons,direct energy weapons,0,0,direct energi weapon
directed energy weapon,directed energy weapon,0,0,direct energi weapon
directed energy weapons,directed energy weapons,0,0,direct energi weapon
directedenergy weapons,directed energy weapons,0,0,direct energi weapon
dirigibles,dirigibles,0,0,dirig
dishwasher,dishwasher,0,0,dishwash
dishwashers,dishwashers,0,0,dishwash
disinfectant misting tent,disinfectant misting tent,0,0,disinfect mist tent
disk drive,disk drive,0,0,disk drive
disposable masks,disposable masks,0,0,dispos mask
diving suit,diving suit,0,0,dive suit
dna alteration,dna alteration,0,0,dna alter
dna analysis,dna analysis,0,0,dna analysi
dna cloning,dna cloning,0,0,dna clone
dna data,dna data,0,0,dna data
dna evidence,dna evidence,0,0,dna evid
dna experiments,dna experiments,0,0,dna experi
dna extraction,dna extraction,0,0,dna extract
dna test kit,dna test kit,0,0,dna test kit
dna testing,dna testing,0,0,dna test
dna tests,dna tests,0,0,dna test
dnschanger virus,dnschanger virus,0,0,dnschanger viru
domain names,domain names,0,0,domain name
dominion software,dominion software,0,0,dominion softwar
dominion voting systems,dominion voting systems,0,0,dominion vote system
doom,doom,1,0,doom
doomsday planes,doomsday planes,0,0,doomsday plane
doorbell camera,doorbell camera,0,0,doorbel camera
doublelung transplant,doublelung transplant,0,0,doublelung transplant
downloadable ballots,downloadable ballots,0,0,download ballot
drill bits,drill bits,0,0,drill bit
drilling,drilling,1,1,drill
driverless car,driverless car,0,0,driverless car
driverless cars,driverless cars,0,0,driverless car
driving technology,driving technology,1,0,drive technolog
drone,drone,1,1,drone
drone attack program,drone attack program,0,0,drone attack program
drone delivery,drone delivery,0,0,drone deliveri
drone strikes,drone strikes,0,0,drone strike
drone technology,drone technology,0,0,drone technolog
dronepowered hoverboard,drone powered hoverboard,0,0,drone power hoverboard
drones,drones,1,1,drone
drug testing,drug testing,0,0,drug test
drugdetecting nail polish,drugdetecting nail polish,0,0,drugdetect nail polish
dtap vaccine,dtap vaccine,0,0,dtap vaccin
dumaru worm,dumaru worm,1,0,dumaru worm
duplicate card readers,duplicate card readers,0,0,duplic card reader
dustbuster,dustbuster,0,0,dustbust
dvd,dvd,1,0,dvd
dvds,dvds,0,0,dvd
dyson supersonic,dyson supersonic,0,0,dyson superson
e15 gasoline,e15 gasoline,0,0,e15 gasolin
e911 chip,e 911 chip,0,0,e 911 chip
early photography,early photography,0,0,earli photographi
earmuffs,earmuffs,0,0,earmuff
earphones,earphones,0,0,earphon
earpiece,earpiece,1,0,earpiec
earpieces,earpieces,1,0,earpiec
ebike,ebike,0,0,ebik
ebola vaccinations,ebola vaccinations,0,0,ebola vaccin
ebola vaccine,ebola vaccine,0,0,ebola vaccin
ebooks,ebooks,0,0,ebook
ecg,ecg,1,0,ecg
ecigarettes,e cigarettes,0,0,e cigarett
economic model,economic model,0,0,econom model
edible tape,edible tape,0,0,edibl tape
edit button,edit button,0,0,edit button
egg rollmaking machine,egg rollmaking machine,0,0,egg rollmak machin
ejuice,e juice,0,1,e juic
election software,election software,0,0,elect softwar
election system,election system,0,0,elect system
elections technology,elections technology,0,0,elect technolog
electric automobile,electric automobile,0,0,electr automobil
electric buses,electric buses,0,0,electr buse
electric car,electric car,0,0,electr car
electric car batteries,electric car batteries,0,0,electr car batteri
electric car battery,electric car battery,0,0,electr car batteri
electric car charging station,electric car charging station,0,0,electr car charg station
electric cars,electric cars,0,0,electr car
electric chair,electric chair,1,1,electr chair
electric charging station,electric charging station,0,0,electr charg station
electric fans,electric fans,0,0,electr fan
electric fence,electric fence,0,0,electr fenc
electric generating plant,electric generating plant,0,0,electr gener plant
electric generation,electric generation,0,0,electr gener
electric grid,electric grid,0,0,electr grid
electric guitar,electric guitar,0,0,electr guitar
electric mail trucks,electric mail trucks,0,0,electr mail truck
electric mower,electric mower,0,0,electr mower
electric outlets,electric outlets,0,0,electr outlet
electric scooters,electric scooters,0,0,electr scooter
electric tractors,electric tractors,0,0,electr tractor
electric vehicle,electric vehicle,0,0,electr vehicl
electric vehicle batteries,electric vehicle batteries,0,0,electr vehicl batteri
electric vehicles,electric vehicles,0,0,electr vehicl
electrical grids,electrical grids,0,0,electr grid
electricity,electricity,0,0,electr
electricitysaving box,electricity saving box,1,0,electr save box
electrified fence,electrified fence,0,0,electrifi fenc
electromagnetic pulses,electromagnetic pulses,0,0,electromagnet puls
electromagnetic radiation detector,electromagnetic radiation detector,0,0,electromagnet radiat detector
electronic absentee voting system,electronic absentee voting system,0,0,electron absente vote system
electronic ballots,electronic ballots,0,0,electron ballot
electronic braking system,electronic braking system,0,0,electron brake system
electronic cigarette,electronic cigarette,0,0,electron cigarett
electronic cigarettes,electronic cigarettes,0,0,electron cigarett
electronic locators,electronic locators,0,0,electron locat
electronic medical records,electronic medical records,0,0,electron medic record
electronic payment transfers,electronic payment transfers,0,0,electron payment transfer
electronic surveillance,electronic surveillance,0,0,electron surveil
electronic transactions,electronic transactions,0,0,electron transact
electronic voting machines,electronic voting machines,0,0,electron vote machin
electronics recycling,electronics recycling,0,0,electron recycl
electrotherapies,electrotherapies,0,0,electrotherapi
elevators,elevators,0,0,elev
email,email,1,0,email
email server,email server,0,0,email server
emails,emails,0,0,email
embossed hologram,embossed hologram,0,0,emboss hologram
embryo freezing,embryo freezing,0,0,embryo freez
embryonic stem cell research,embryonic stem cell research,0,0,embryon stem cell research
embryonic stem cells,embryonic stem cells,0,0,embryon stem cell
emdrive propulsion system,emdrive propulsion system,0,0,emdriv propuls system
emergency alert system,emergency alert system,0,0,emerg alert system
emergency alerts,emergency alerts,0,0,emerg alert
emergency broadcast system,emergency broadcast system,0,0,emerg broadcast system
emergency power generators,emergency power generators,0,0,emerg power gener
emissions cheat devices,emissions cheat devices,0,0,emiss cheat devic
emissions regulations,emissions regulations,0,0,emiss regul
emojis,emojis,0,0,emoji
emoticon,emoticon,0,0,emoticon
emotionmonitoring tech,emotion monitoring tech,0,0,emot monitor tech
emv chip card,emv chip card,0,0,emv chip card
encryption technology,encryption technology,0,0,encrypt technolog
endtoend encryption,end to end encryption,0,0,end to end encrypt
energy efficient car,energy efficient car,0,0,energi effici car
energy saver boxes,energy saver boxes,0,0,energi saver box
energy weapons,energy weapons,0,0,energi weapon
energysaving device,energy saving device,0,0,energi save devic
energysaving gadget,energy saving gadget,0,0,energi save gadget
engines,engines,1,0,engin
enriched uranium,enriched uranium,0,0,enrich uranium
enzymes,enzymes,0,0,enzym
epetition,epetition,1,0,epetit
epidural anesthetic,epidural anesthetic,0,0,epidur anesthet
epinephrine injector,epinephrine injector,0,0,epinephrin injector
epipen,epipen,0,0,epipen
epipens,epipens,0,0,epipen
epoxy,epoxy,0,0,epoxi
ereaders,ereaders,0,0,eread
ethanol,ethanol,0,0,ethanol
ethanol fuel,ethanol fuel,0,0,ethanol fuel
ethanol production,ethanol production,0,0,ethanol product
ethereum,ethereum,0,0,ethereum
ethylene oxide,ethylene oxide,0,0,ethylen oxid
ethylene treatment,ethylene treatment,0,0,ethylen treatment
ev charging stations,ev charging stations,0,0,ev charg station
evaporating towers,evaporating towers,0,0,evapor tower
everify,everify,1,0,everifi
exercise bikes,exercise bikes,0,0,exercis bike
exosuits,exosuits,0,0,exosuit
experimental technology,experimental technology,0,0,experiment technolog
experimental treatment,experimental treatment,0,0,experiment treatment
explosives,explosives,0,0,explos
extraterrestrial technologies,extraterrestrial technologies,0,0,extraterrestri technolog
ezpass,ezpass,0,0,ezpass
f/a37 military plane,f/a 37 military plane,0,0,f/a 37 militari plane
f15 fighter jet,f 15 fighter jet,0,0,f 15 fighter jet
f15 fighter jets,f 15 fighter jets,0,0,f 15 fighter jet
f15s,f 15s,1,0,f 15
f16,f 16,1,0,f 16
f16 military plane,f 16 military plane,0,0,f 16 militari plane
f16s,f 16s,1,0,f 16
f35,f 35,1,0,f 35
fabric that kills coronaviruses,fabric that kills coronaviruses,0,0,fabric that kill coronavirus
face mask,face mask,0,0,face mask
face masks,face masks,0,0,face mask
facealtering app,face altering app,0,0,face alter app
faceapp,faceapp,0,0,faceapp
facebook,facebook,1,0,facebook
facebook live,facebook live,0,0,facebook live
facebook messenger,facebook messenger,0,0,facebook messeng
facebook reactions,facebook reactions,0,0,facebook reaction
faceswapping,face swapping,0,0,face swap
facetime,facetime,1,0,facetim
facial recognition,facial recognition,0,0,facial recognit
facial recognition software,facial recognition software,0,0,facial recognit softwar
fake meat,fake meat,0,0,fake meat
fake news generator,fake news generator,0,0,fake news gener
fake tweetgenerator,fake tweetgenerator,1,0,fake tweetgener
falcon 9 rocket,falcon 9 rocket,0,0,falcon 9 rocket
falcon heavy rocket,falcon heavy rocket,0,0,falcon heavi rocket
farm equipment,farm equipment,0,0,farm equip
fax machine,fax machine,0,0,fax machin
federal computer network,federal computer network,0,0,feder comput network
federal database,federal database,0,0,feder databas
federal employee verification system,federal employee verification system,0,0,feder employe verif system
federal health record,federal health record,0,0,feder health record
fednow,fednow,0,0,fednow
fednow payment system,fednow payment system,0,0,fednow payment system
female condom,female condom,0,0,femal condom
female condoms,female condoms,0,0,femal condom
fenbendazole,fenbendazole,0,0,fenbendazol
fentanyl,fentanyl,0,0,fentanyl
fidget spinner,fidget spinner,0,0,fidget spinner
fighter jet,fighter jet,0,0,fighter jet
fighter jets,fighter jets,0,0,fighter jet
fighter planes,fighter planes,0,0,fighter plane
fingerprint database,fingerprint database,0,0,fingerprint databas
fingerprint identification system,fingerprint identification system,0,0,fingerprint identif system
fingerprinting,fingerprinting,1,0,fingerprint
fire alarm box,fire alarm box,0,0,fire alarm box
fire drone,fire drone,1,0,fire drone
fire foil,fire foil,1,0,fire foil
fire sprinklers,fire sprinklers,0,0,fire sprinkler
firearms,firearms,0,0,firearm
fireworks,fireworks,0,0,firework
fizzer worm,fizzer worm,0,0,fizzer worm
flameretardant materials,flameretardant materials,0,0,flameretard materi
flamethrower,flamethrower,0,0,flamethrow
flamethrowers,flamethrowers,0,0,flamethrow
flash drive,flash drive,0,0,flash drive
flash player,flash player,0,0,flash player
flashbang grenade,flashbang grenade,0,0,flashbang grenad
flashlight apps,flashlight apps,0,0,flashlight app
flowbee,flowbee,0,0,flowbe
flu shot,flu shot,0,0,flu shot
flu shots,flu shots,0,0,flu shot
flu vaccine,flu vaccine,0,0,flu vaccin
fluorescent light bulbs,fluorescent light bulbs,0,0,fluoresc light bulb
fluoridation,fluoridation,0,0,fluorid
fluoride toothpaste,fluoride toothpaste,0,0,fluorid toothpast
flush toilet,flush toilet,0,0,flush toilet
flux capacitor,flux capacitor,0,0,flux capacitor
flying car,flying car,0,0,fli car
flying machines,flying machines,0,0,fli machin
fog reveal,fog reveal,1,0,fog reveal
forced perspective,forced perspective,0,1,forc perspect
fossil fuel,fossil fuel,0,0,fossil fuel
fossil fuels,fossil fuels,0,0,fossil fuel
fracked gas pipeline,fracked gas pipeline,0,0,frack ga pipelin
fracking,fracking,0,0,frack
freezer,freezer,0,0,freezer
freon,freon,0,0,freon
fuel efficiency,fuel efficiency,0,0,fuel effici
fuel efficiency standards,fuel efficiency standards,0,0,fuel effici standard
fuel standards,fuel standards,0,0,fuel standard
fullbody scanners,full body scanners,0,0,full bodi scanner
furbys,furbys,0,0,furbi
fuzzbuster,fuzzbuster,1,0,fuzzbust
galaxy note 7,galaxy note 7,0,0,galaxi note 7
galton board,galton board,0,0,galton board
galvanic battery belts,galvanic battery belts,0,0,galvan batteri belt
game boy,game boy,0,0,game boy
game controller,game controller,0,0,game control
gaming console,gaming console,0,0,game consol
ganda worm,ganda worm,0,0,ganda worm
garbage disposal,garbage disposal,0,0,garbag dispos
garbage trucks,garbage trucks,0,0,garbag truck
garbageburning power plant,garbage burning power plant,0,0,garbag burn power plant
gas,gas,1,1,ga
gas detector,gas detector,0,0,ga detector
gas generator,gas generator,0,0,ga gener
gas mask,gas mask,0,0,ga mask
gas ovens and burners,gas ovens and burners,0,0,ga oven and burner
gas pipeline,gas pipeline,0,0,ga pipelin
gas pump,gas pump,0,0,ga pump
gas rigs,gas rigs,0,0,ga rig
gas stoves,gas stoves,0,0,ga stove
gasfueled lighting,gas fueled lighting,0,0,ga fuel light
gaspowered cars,gas powered cars,0,0,ga power car
gel candles,gel candles,0,0,gel candl
genderneutral screening technology,gender neutral screening technology,0,0,gender neutral screen technolog
gene therapy,gene therapy,0,0,gene therapi
generative ai,generative ai,0,0,gener ai
genetic coding,genetic coding,0,0,genet code
genetic engineering,genetic engineering,0,0,genet engin
genetic modification,genetic modification,0,0,genet modif
genetic screenings,genetic screenings,0,0,genet screen
genetically engineered cattle ticks,genetically engineered cattle ticks,0,0,genet engin cattl tick
genetically modified cannabis,genetically modified cannabis,0,0,genet modifi cannabi
genetically modified crops,genetically modified crops,0,0,genet modifi crop
genetically modified mosquitoes,genetically modified mosquitoes,0,0,genet modifi mosquito
genetically modified organisms,genetically modified organisms,0,0,genet modifi organ
genetically modified seed,genetically modified seed,0,0,genet modifi seed
geneticallyengineered crops,genetically engineered crops,0,0,genet engin crop
genital implant,genital implant,0,0,genit implant
geoengineering,geoengineering,0,0,geoengin
geolocation,geolocation,0,0,geoloc
ghost guns,ghost guns,0,0,ghost gun
gillnets,gillnets,0,0,gillnet
glasses,glasses,1,1,glass
glitter phone cases,glitter phone cases,0,0,glitter phone case
glock,glock,1,0,glock
glycoprotein,glycoprotein,0,0,glycoprotein
gmail,gmail,0,0,gmail
gmo,gmo,1,0,gmo
gmo crops,gmo crops,0,0,gmo crop
gmo mosquitos,gmo mosquitos,0,0,gmo mosquito
gmos,gmos,1,0,gmo
goes satellite,goes satellite,1,0,goe satellit
goner worm,goner worm,1,0,goner worm
google docs,google docs,0,0,googl doc
google earth,google earth,0,0,googl earth
google maps,google maps,0,0,googl map
google reviews,google reviews,0,0,googl review
google search,google search,0,0,googl search
google street view,google street view,0,0,googl street view
google translate,google translate,0,0,googl translat
gopro,gopro,1,0,gopro
got you worm,got you worm,1,0,got you worm
government tracking device,government tracking device,0,0,govern track devic
gps,gps,1,0,gp
gps devices,gps devices,0,0,gp devic
gps tracking,gps tracking,0,0,gp track
gps tracking devices,gps tracking devices,0,0,gp track devic
graph app,graph app,0,0,graph app
graphene,graphene,0,0,graphen
graphene chips,graphene chips,0,0,graphen chip
graphene hydroxide,graphene hydroxide,0,0,graphen hydroxid
graphene oxide,graphene oxide,0,0,graphen oxid
gravitational waves,gravitational waves,0,0,gravit wave
green energy,green energy,0,0,green energi
green screen,green screen,0,1,green screen
grindr,grindr,0,0,grindr
grocery scanner,grocery scanner,0,0,groceri scanner
grok platform,grok platform,0,0,grok platform
groundcommanded television assembly,groundcommanded television assembly,0,0,groundcommand televis assembl
gta vi,gta vi,0,0,gta vi
guillotine,guillotine,1,0,guillotin
gulfstream g650,gulfstream g650,0,0,gulfstream g650
gulfstream jet,gulfstream jet,0,0,gulfstream jet
h1b visa program,h 1b visa program,0,0,h 1b visa program
h1n1 vaccine,h1n1 vaccine,0,0,h1n1 vaccin
haarp,haarp,1,0,haarp
hacking,hacking,1,0,hack
hair dryer,hair dryer,0,0,hair dryer
hairdryer,hairdryer,0,0,hairdryer
ham radio,ham radio,0,0,ham radio
hammer,hammer,1,1,hammer
hand counting,hand counting,0,0,hand count
hand dryers,hand dryers,0,0,hand dryer
hand sanitizer,hand sanitizer,0,0,hand sanit
handguns,handguns,0,0,handgun
handsfree cell phone,handsfree cell phone,0,0,handsfre cell phone
hard drives,hard drives,0,0,hard drive
hazardous materials suit,hazardous materials suit,0,0,hazard materi suit
hazmat suits,hazmat suits,0,0,hazmat suit
headphone jack,headphone jack,0,0,headphon jack
headset,headset,0,0,headset
health records system,health records system,0,0,health record system
healthrecord system,health record system,0,0,health record system
heart transplant,heart transplant,0,0,heart transplant
heartbleed,heart bleed,1,1,heart bleed
heavy icebreakers,heavy icebreakers,0,0,heavi icebreak
heavy water,heavy water,0,0,heavi water
helicopter,helicopter,0,0,helicopt
helicopters,helicopters,0,0,helicopt
helium balloons,helium balloons,0,0,helium balloon
helmet,helmet,0,0,helmet
helmet camera,helmet camera,0,0,helmet camera
hepatitis b vaccine,hepatitis b vaccine,0,0,hepat b vaccin
here you have virus,here you have virus,1,0,here you have viru
hidden camera,hidden camera,0,0,hidden camera
hidden metadata,hidden metadata,0,0,hidden metadata
high speed internet,high speed internet,0,0,high speed internet
highpower microwaves,highpower microwaves,0,0,highpow microwav
highspeed internet,highspeed internet,0,0,highspe internet
highspeed rail,highspeed rail,0,0,highspe rail
highspeed train,highspeed train,0,0,highspe train
hightech,hightech,0,0,hightech
hightech industries,hightech industries,0,0,hightech industri
highvoltage power lines,highvoltage power lines,0,0,highvoltag power line
hiv medicines,hiv medicines,0,0,hiv medicin
hiv tests,hiv tests,0,0,hiv test
hiv/aids medicine,hiv/aids medicine,0,0,hiv/aid medicin
hoe excavator,hoe excavator,0,0,hoe excav
hollowpoint bullets,hollowpoint bullets,0,0,hollowpoint bullet
hologram,hologram,1,0,hologram
home computer,home computer,0,0,home comput
home computers,home computers,0,0,home comput
home internet,home internet,0,0,home internet
home pregnancy tests,home pregnancy tests,0,0,home pregnanc test
home theaters,home theaters,0,0,home theater
homeopathy,homeopathy,0,0,homeopathi
hookup apps,hookup apps,0,0,hookup app
hormonal birth control,hormonal birth control,0,0,hormon birth control
hormone medication,hormone medication,0,0,hormon medic
hormone therapy,hormone therapy,0,0,hormon therapi
horse power control device,horse power control device,0,0,hors power control devic
horseless carriages,horseless carriages,0,0,horseless carriag
hotair balloon,hot air balloon,0,0,hot air balloon
hotel safe,hotel safe,0,0,hotel safe
household energy consumption reduction device,household energy consumption reduction device,0,0,household energi consumpt reduct devic
hoverboard,hoverboard,0,0,hoverboard
hoverboards,hoverboards,0,0,hoverboard
hpv vaccine,hpv vaccine,0,0,hpv vaccin
hubble telescope,hubble telescope,0,0,hubbl telescop
human implantable microchips,human implantable microchips,0,0,human implant microchip
humanlike robot,humanlike robot,0,0,humanlik robot
humvees,humvees,0,0,humve
hunting rifle,hunting rifle,0,0,hunt rifl
hybrid airship,hybrid airship,0,0,hybrid airship
hybrid battery,hybrid battery,0,0,hybrid batteri
hybrid cars,hybrid cars,0,0,hybrid car
hydraulic fracking,hydraulic fracking,0,0,hydraul frack
hydrofracking,hydro fracking,0,0,hydro frack
hydrogen,hydrogen,1,0,hydrogen
hydrogenpowered cars,hydrogen powered cars,0,0,hydrogen power car
hydropower,hydropower,0,0,hydropow
hydroxychloroquine,hydroxychloroquine,0,0,hydroxychloroquin
hyperloop,hyperloop,0,0,hyperloop
hypersonic jet,hypersonic jet,0,0,hyperson jet
hypersonic missile,hypersonic missile,0,0,hyperson missil
ibm technology,ibm technology,0,0,ibm technolog
ice cream machines,ice cream machines,0,0,ice cream machin
icloud,icloud,0,0,icloud
icu bed,icu bed,0,0,icu bed
id2020,id2020,1,0,id2020
identify tv and music app,identify tv and music app,0,0,identifi tv and music app
identity verification,identity verification,0,0,ident verif
ignition interlock system,ignition interlock system,0,0,ignit interlock system
image editing,image editing,0,0,imag edit
image filter feature,image filter feature,0,0,imag filter featur
image scanning,image scanning,0,0,imag scan
imessage,imessage,0,0,imessag
immunizations,immunizations,0,0,immun
implantable cardioverter defibrillator,implantable cardioverter defibrillator,0,0,implant cardiovert defibril
implantable microchip,implantable microchip,0,0,implant microchip
implanted microchip,implanted microchip,0,0,implant microchip
improvised explosive device,improvised explosive device,0,0,improvis explos devic
in vitro fertilization,in vitro fertilization,0,0,in vitro fertil
inapp feature,inapp feature,1,0,inapp featur
incandescent bulbs,incandescent bulbs,0,0,incandesc bulb
incandescent light bulb,incandescent light bulb,0,0,incandesc light bulb
incubator,incubator,1,1,incub
indelible ink,indelible ink,0,0,indel ink
infantry fighting vehicles,infantry fighting vehicles,0,0,infantri fight vehicl
inflatable bra,inflatable bra,0,0,inflat bra
inflatable dam,inflatable dam,0,0,inflat dam
inflatable decoy plane,inflatable decoy plane,0,0,inflat decoy plane
influenza vaccine,influenza vaccine,0,0,influenza vaccin
information technology,information technology,0,0,inform technolog
infrared,infrared,0,1,infrar
inhaler,inhaler,0,0,inhal
inhalers,inhalers,0,0,inhal
injectable birth control,injectable birth control,0,0,inject birth control
injectable contraceptive gel,injectable contraceptive gel,0,0,inject contracept gel
insect protein,insect protein,0,0,insect protein
insect spy drone,insect spy drone,0,0,insect spi drone
insecticide,insecticide,0,0,insecticid
instagram,instagram,0,0,instagram
instagram filters,instagram filters,0,0,instagram filter
instant messaging,instant messaging,0,0,instant messag
insulin,insulin,0,0,insulin
intel core 2 duo processors,intel core 2 duo processors,0,0,intel core 2 duo processor
interactive television,interactive television,0,0,interact televis
internal combustion engine,internal combustion engine,0,0,intern combust engin
internet,internet,0,0,internet
internet domain name,internet domain name,0,0,internet domain name
internet domain name system,internet domain name system,0,0,internet domain name system
internet explorer,internet explorer,0,0,internet explor
internet protocol,internet protocol,0,0,internet protocol
internet services,internet services,0,0,internet servic
internetcapable portable toilet,internet capable portable toilet,0,0,internet capabl portabl toilet
intravenous bags,intravenous bags,0,0,intraven bag
invisible code watermark,invisible code watermark,0,0,invis code watermark
invisible tattoos,invisible tattoos,0,0,invis tattoo
ios,ios,1,0,io
ios 11,ios 11,0,0,io 11
ios 17,ios 17,0,0,io 17
ipad,ipad,1,0,ipad
ipads,ipads,1,0,ipad
iphone,iphone,0,0,iphon
iphone 12,iphone 12,0,0,iphon 12
iphone 6,iphone 6,0,0,iphon 6
iphone 6s,iphone 6s,0,0,iphon 6s
iphone 7,iphone 7,0,0,iphon 7
iphone cameras,iphone cameras,0,0,iphon camera
iphone shortcut,iphone shortcut,0,0,iphon shortcut
iphones,iphones,0,0,iphon
ipod touch,ipod touch,0,0,ipod touch
ipods,ipods,0,0,ipod
iring,iring,1,0,ire
iron dome,iron dome,0,0,iron dome
iron dome missile defense system,iron dome missile defense system,0,0,iron dome missil defens system
iud,iud,1,0,iud
ivermectin,ivermectin,0,0,ivermectin
ivf,ivf,1,0,ivf
james virus,james virus,1,0,jame viru
james webb space telescope,james webb space telescope,0,0,jame webb space telescop
james webb telescope,james webb telescope,0,0,jame webb telescop
jato  unit,jato  unit,1,0,jato unit
javelin,javelin,1,1,javelin
javelin missiles,javelin missiles,0,0,javelin missil
jaws of life,jaws of life,0,0,jaw of life
jdbgmgrexe,jdbgmgrexe,0,0,jdbgmgrex
jet engine,jet engine,0,0,jet engin
jet fighters,jet fighters,0,0,jet fighter
jet packs,jet packs,0,0,jet pack
jet stream,jet stream,0,0,jet stream
jetliner,jetliner,0,0,jetlin
jetpacks,jetpacks,0,0,jetpack
jetpowered hoverboard,jet powered hoverboard,0,0,jet power hoverboard
jets,jets,1,0,jet
joint strike fighter jet,joint strike fighter jet,0,0,joint strike fighter jet
journal app,journal app,0,0,journal app
juicejacking,juicejacking,0,0,juicejack
juicer,juicer,1,0,juicer
jumbotron display screen,jumbotron display screen,0,0,jumbotron display screen
jwst,jwst,1,0,jwst
ka 52 helicopters,ka 52 helicopters,0,0,ka 52 helicopt
key fob,key fob,0,0,key fob
keyboard,keyboard,1,0,keyboard
keyboard loggers,keyboard loggers,0,0,keyboard logger
keycard,keycard,0,0,keycard
keyless entry technology,keyless entry technology,0,0,keyless entri technolog
keypunch,keypunch,0,0,keypunch
keystone pipeline,keystone pipeline,0,0,keyston pipelin
keystone xl,keystone xl,0,0,keyston xl
keystone xl pipeline,keystone xl pipeline,0,0,keyston xl pipelin
keystroke tracking,keystroke tracking,0,0,keystrok track
kik messenger,kik messenger,0,0,kik messeng
kill switch,kill switch,0,0,kill switch
kill switches,kill switches,0,0,kill switch
killer robots,killer robots,0,0,killer robot
klez virus,klez virus,0,0,klez viru
klezh virus,klezh virus,0,0,klezh viru
koobface virus,koobface virus,0,0,koobfac viru
krack,krack,1,0,krack
lab grown meat,lab grown meat,0,0,lab grown meat
lab test kits,lab test kits,0,0,lab test kit
labgrown babies,lab grown babies,0,0,lab grown babi
labgrown baby,lab grown baby,1,0,lab grown babi
labgrown meat,lab grown meat,0,0,lab grown meat
labmanufactured breast milk,lab manufactured breast milk,0,0,lab manufactur breast milk
landing gear,landing gear,0,0,land gear
landline,landline,0,0,landlin
landline phones,landline phones,0,0,landlin phone
laptop,laptop,0,0,laptop
laptop computers,laptop computers,0,0,laptop comput
laptops,laptops,0,0,laptop
large hadron collider,large hadron collider,0,0,larg hadron collid
laser,laser,1,1,laser
laser beams,laser beams,0,0,laser beam
laser systems,laser systems,0,0,laser system
lasers,lasers,1,0,laser
lasik,lasik,0,0,lasik
lawn mower,lawn mower,0,0,lawn mower
lethal injection,lethal injection,0,0,lethal inject
levitating car,levitating car,0,0,levit car
life jackets,life jackets,0,0,life jacket
life support,life support,0,1,life support
lifesupport machine,life support machine,0,0,life support machin
lifesupport systems,life support systems,0,0,life support system
light bulb,light bulb,0,0,light bulb
light bulbs,light bulbs,0,0,light bulb
light rail,light rail,0,0,light rail
light show,light show,0,0,light show
lightbulb,lightbulb,0,0,lightbulb
lightrail,light rail,0,0,light rail
liquefied natural gas,liquefied natural gas,0,0,liquefi natur ga
liquid nitrogen,liquid nitrogen,0,0,liquid nitrogen
liquid paper,liquid paper,0,0,liquid paper
liquified natural gas,liquified natural gas,0,0,liquifi natur ga
lirva worm,lirva worm,0,0,lirva worm
listening devices,listening devices,1,0,listen devic
lithium,lithium,1,0,lithium
lithium batteries,lithium batteries,0,0,lithium batteri
lithium battery,lithium battery,0,0,lithium batteri
lithium mining,lithium mining,0,0,lithium mine
live video feed,live video feed,0,0,live video feed
livestream,livestream,0,0,livestream
livestreaming,livestreaming,0,0,livestream
lobotomy,lobotomy,0,0,lobotomi
lock pick,lock pick,0,0,lock pick
locks,locks,1,1,lock
logging,logging,1,1,log
longbow,longbow,0,0,longbow
longrange bombers,longrange bombers,0,0,longrang bomber
lovgate worm,lovgate worm,0,0,lovgat worm
lowflow showers,low flow showers,0,0,low flow shower
lowflow toilets,low flow toilets,0,0,low flow toilet
luciferase,luciferase,0,0,luciferas
lung cancer vaccine,lung cancer vaccine,0,0,lung cancer vaccin
lyebased hair relaxers,lye based hair relaxers,0,0,lye base hair relax
m16 rifles,m16 rifles,0,0,m16 rifl
m44 cyanide ejector device,m 44 cyanide ejector device,0,0,m 44 cyanid ejector devic
mac,mac,1,1,mac
macbooks,macbooks,0,0,macbook
machine gun,machine gun,0,0,machin gun
machine guns,machine guns,0,0,machin gun
machining,machining,0,0,machin
magicband readers,magicband readers,0,0,magicband reader
magnetic field,magnetic field,0,0,magnet field
magnetic frequencies,magnetic frequencies,0,0,magnet frequenc
magnetic levitation,magnetic levitation,0,0,magnet levit
